,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 Month),Market Cap,PE Ratio (TTM)
194,EXC,Exelon Corporation,40.52,+0.28,+0.70%,5.372M,7.317M,40.289B,18.93
195,BK,The Bank of New York Mellon Corporation,43.64,+0.89,+2.08%,4.851M,5.951M,34.898B,15.21
196,CX,"CEMEX, S.A.B. de C.V.",5.03,+0.01,+0.20%,5.252M,6.562M,7.287B,13.59
197,AMCR,Amcor plc,10.97,+0.04,+0.37%,4.917M,8.155M,16.299B,15.24
198,AES,The AES Corporation,22.60,+0.39,+1.76%,4.595M,4.44M,15.12B,N/A
199,VICI,VICI Properties Inc.,31.38,+0.32,+1.03%,5.195M,6.387M,31.512B,23.95
200,PARA,Paramount Global,20.76,+0.53,+2.62%,5.134M,11.462M,13.646B,20.55
201,LUV,Southwest Airlines Co.,30.15,+0.52,+1.75%,5.092M,7.303M,17.918B,35.06
202,SAN,"Banco Santander, S.A.",3.5300,+0.0800,+2.32%,5.096M,5.469M,58.6B,6.30
203,SU,Suncor Energy Inc.,29.73,+0.76,+2.62%,5.057M,4.598M,39.495B,6.38
204,MAT,"Mattel, Inc.",16.93,+0.65,+3.99%,5.086M,3.175M,6.022B,15.39
205,ALLY,Ally Financial Inc.,24.22,0.00,0.00%,5.924M,7.48M,7.286B,4.77
206,CHPT,"ChargePoint Holdings, Inc.",9.72,-0.11,-1.12%,5.002M,9.527M,3.383B,N/A
